Name,Country,Visited,Reviewed,Age,Experience Level,Program,Rating,Title,Review
Suraj,UK,Visited: August 2018,02-Nov-18,20-35,2-5 safaris,Bonfire Adventures,1,Poor organisation and not true to their word,"This trip was so bad that I don't know where to start. Firstly, they provided us with the wrong price online. When we went to the shop in Nairobi, they told us we had to pay extra because we were not Kenyan residents. They knew we were from the UK when we asked for a quote.
Secondly, it was the worst organised trip ever. We booked a 3 day/2 night trip in Masai Mara, and after reading about different trips, we were promised an afternoon game drive on day 1, full day game drive on day 2 and morning game driver on day 3. We were told to meet up with our driver outside the shop on Sunday at 6:45am and no later! We arrived at 6:30am on the Sunday and there was nobody in sight, nor was the office open.  We stood outside in the cold for an one hour hoping that someone would come. After 30 minutes there was a random person with a bonfire adventure top on. When we spoke to him, he told us that we were not his driver and there were no more drivers today. It took us an additional 30 minutes and numerous phone calls to get in touch with our driver. He told us to walk 10 minutes to get to his car.
When we got to the car, it was not a 4x4 as promised, it was a small old-aged van that carried 7 people in the back. We told him what we were promised and he said that the company doesn't have any. We then had to wait for 2 hours because someone was running late. By the time we left, we had 7 people in the car and you literally had hardly any room for your legs.
We knew the journey would be long but because how bad the vehicle was, it was like a rollercoaster. No suspension at all.
Our hotel, Simba Oryx, was incredible! Both the room and the food. I could not recommend it more. Its worth noting though that the hotel was included in the costs but totally separately run so you book any hotel through any safari agency.
When we arrived at our hotel, it was already 4pm and he said the park closes at 6pm. As others were staying in different places, he said he would be back in 30 minutes. He arrived at 5:15 and by the time we got to the safari, we had to get park tickets and so didn't enter until 5:50. We literally drove around for 10 minutes.
The second day, he was late in the morning, picked everyone else up after us. This was after saying he would pick us up first. He gave us a different reason for why he was late to another couple and we ended up missing the run rise.
Now what annoyed me today was day 3. We were promised a morning game drive. Instead he took us to the Masai Village. I explained that this was not the plan but nobody else spoke up and he said that this is always the programme. They expect everyone who comes to the village to pay around $20 per person. I told them that I had paid for everything upfront (and it wasn't cheap!) so there was no way I was paying.
We left the mara at around 11am. Total waste of a day.
In summary, I ended up paying for one day of safari in an uncomfortable over-crowded vehicle. The company is a joke to deal with and don't stick to any promises. Do yourself a favour and stay away from Bonfire Adventures!
"
Susan,NZ,Visited: October 2018,04-Jan-19,50-65,first safari,Mushra Travel Agency,1,"Totally let down, simply heartbroken","Consider very carefully before booking with Mushra Travel, NOT a trustworthy company.
My husband and I travelled to Uganda in October , our itinerary was changed, we weren¢®?t told. We booked as a group, Michael told us 4 other couples were aLready booked on our tour, but we were on our own, not bad you say, but we like to meet people. The tour went reasonably well, although our guide wasnt really interested in us and only did what he really needed to do.
Our last day was to see the gorillas, they messed up our permits even though we booked and paid 10 months in advance. We had to change our flights and extend the holiday by 2 days for them to sort new permits. Our driver repeatedly tried to get cash from us to pay for petrol as he said Michael was not sending him money. Then to end the holiday on a high at 8.30pm on our last night, travelling back to Kampala we were pulled over by armed police who told us they were repossessing the vehicle (and our suitcases) as Michael hadn¢®?t paid the lease. The repossession company turned up and we were faced with 3 men and the police telling us we would not be let go until Michael paid up. Michael would not answer our calls or theirs, what a nightmare!
It¢®?s hard to believe this feedback, especially as most people seem to have nothing but praise for Michael. Micheal promised us a refund of our additional expenses incurred due to their cock ups but we have been home for 2 months and no refund has been received, despite numerous messages being sent. I¢®?m not surprised!
"
Susan,IT,Visited: June 2018,07-Aug-18,50-65,over 5 safaris,Bush Baby Calls,1,Avoid at all costs - this is a schlock outfit!!,"Utter shambles. Of 5 nights of mobile camping - reserved, confirmed, fully pre-paid - we were cheated out of 2 nights. On arrival we found out that the first night nothing whatsoever had been arranged, other than a back-handed suggestion to stay in some shabby motel in the middle of Maun - and even though our itinerary clearly stated that we would be bush camping in Khwai. We were also told that, on the last night, we would be unceremoniously dumped in Kasane and left to our own devices - and even though our itinerary clearly stated that we would be bush camping in Ihaha. The so-called ""organisation"" was an unmitigated disaster. The vehicles (yes, plural, there was a series of replacement ones as they were in such bad condition!) bordered on dangerous. All the equipment was old, worn, broken (tents), dirty (sheets), badly stained (mattresses), or incomplete (towels never materialised). When I confronted the owner, he did not seem surprised and indicted that other travellers had also had abysmal experiences with Bush Baby Calls. But this did not seem to bother him! At best, ineptitude. At worst, fraudulent. Only saving grace was the actual guides who were superb. For both, it was the first time working freelance for Bush Baby Calls and they were clearly horrified, though too professional (and embarrassed) to discuss the situation. Even the officer at Khwai Gate - when we finally got there! - rolled her eyes and said, ""Not them again , they are always messing up!""  Be warned: book with Bush Baby Calls only if you want to have your dream mobile tented experience completely ruined."
Susanna,SE,Visited: May 2023,27-May-23,35-50,2-5 safaris,3 Wonders Expedition,1,Poor planning and communication,"I spent three days doing a joint safari with this company and I'm very disappointed in their poor planning and bad communication. On my first day I ended up alone, pleasant surprise. I was however told that I would stay with the same car and driver all the three days. On my second day I was told we would meet some other people at a junction at 9-9.30. Then I was told they were a bit delayed. Then I was told that we would also swap cars and guide. When we arrived at the junction we found another group in a safari car and we swapped. I asked the other group what happened. They told me there was a problem with the car shaking. I asked the driver and he said ""no, not a big problem"". I was told the people who would join me were a bit late but they would join me in 30 min. I waited 1,5 hours at the junction. And when they told me 30 min the people still hadn't landed at Arusha airport which was more than an hour away. I was told they were delayed. The company lied. 
I eventually reached the park in my shaking car at 12 o'clock. The park was less than an hour away from my accomodation. The shaking was not a small problem, it was a big problem. At the end of the day I had pain in my back. 
On my third day new people arrived..this time they arrived on time. When we finished the safari I asked to be dropped off at my previous hostel since I had arranged a transfer to the airport a few hours later. In the same a car from the safari were a couple who were on a tight deadline to reach their flight on time. The safari company communicates with my hostel and asked them to send the taxi to meet us, so that we could go straight to the airport. I was never consulted. Due to the time pressure of the other people I felt obliged to jump into the car. I arrived at the airport four hours before my departure time and my plans to shower, charge my phone and relax at the hostel vanished. And the safari company 3wonders who charged the couple for the airport transfer conveniantely used my taxi to ship them of to the airport.
I was promised a nice accommodation but I got a very basic one. No hot water unless you told the staff to turn on a switch.  No internet. 
The guides/drivers did their best to compensate for their managers lack of planning and communication, but unfortunately it wasn't good enough."
SUSHIL,US,Visited: September 2018,25-Sep-18,50-65,first safari,Sense of Africa,2,African Safari,"We were party of 14 adults and had two SUV from this company. The drivers were excellent in terms of their services and demeanors But we were given one relatively new vehicle and other one was very old. One of our vehicle broke down twice once in Masai Mara and second time in Serengati national park. The ride was very rough with broken seats handles and malfunctioning windows.
PLEASE BE CAREFUL IF YOU PLAN TO CHOOSE THIS COMPANY AND ASK FOR A NEW VEHICLE WITH COMFORTABLE SEATS AND WEFI ONBOARD IF POSSIBLE."
Sylvana,BG,Visited: October 2022,09-Nov-22,35-50,first safari,Seven Wonders Safaris,1,7 disasters,"We booked a package for 11-day safari in Kenya and Tanzania through Parrot Safaris, Kenya. The Kenyan side of the tour was smooth and very well organized. Jose, our tour agent in Kenya, was easily reached and responsive 24-hour a day, even during his days off. We had Maxwell as our guide and driver and he catered about all of us all the time. But our stay in Tanzania was more than disappointing. First, the truck 7 wonders provide was very old. It broke down 3 times in 4 days and finally, we had to be driven back to Arusha from Ngorongoro by other trucks. Not only had we to spend hours in garages waiting for the truck to be repaired, but our driver Linus was totally negligent and I and my husband felt like useless bags. Most of the time he spoke on the phone and often made pauses on the way to Serengeti. He did not care what time we will reach the reserve because had to arrange some private business with a German tourist. We were overtaken by tenths of trucks just waiting on the dusty road for our driver to finish his phone conversations. In the end he was rushing over the bumpy roads in the parks and no wonder, the truck broke down. When I complained to his bosses, Evelyn and George, through our Kenyan agent, I received just apologies, but things did not get better."
T Weber,DE,Visited: February 2019,18-Mar-19,35-50,first safari,Afrikakukaye Tours and Safaris Ltd,1,Terrible tour operator. We were threatened during our tour!,"First of all I would like to make clear that our guide Simon Yuma was incredible and really made our safari an unforgettable experience! THANK YOU SIMON. YOU ARE AN AMAZING PERSON!

Simon has an amazing knowledge about animals and is able to anticipate their behaviour. We saw so many animals super close, which other groups didn¢®?t. I can highly recommend him and I hope that he will find a better employer in the future and here is why:

The company, which was recommended to us, AFRIKA KUKAYE, seemed small but legit. We actually wanted to book with a smaller company then with a big operator. 

We heard many times that on group tours people from different companies were just put together in the same car and everyone having a different itinerary. We said to Remsi that we did NOT want to do it this way. Communication went well and we WERE ASSURED by the owner Remsi Sungwa that we would definitively go with this company.

So far - so good. He confirmed everything. However, 1 day before our Safari was supposed to start, and of course AFTER WE PAYED, he told us that we would be going with another company from his ?long term and highly trusted business colleague DAVID MARO owner of KILI SLOPE.

This led us to be already suspicious. On the day of the Safari our cook had to leave the car, because we were getting a 7th person in the car due to an ?emergency¢®¡Æ they said. I would rather attribute this to their inability to properly organize a tour. 

On the first evening of our Safari we talked to the persons in our group. It turns out that EVERYBODY BOOKED WITH A DIFFERENT OPERATOR AND EVERBODY HAD A DIFFENTENT ITINERARY AND PAYED A DIFFRENT PRICE.  Nobody actually booked with Kili Slope.

Furthermore most of us were promised 3 full days in Serengeti National Park. During this evening we were told that it would ONLY BE 48h because that¢®?s the way the permits in the park work. THIS IS THE PERFECT EXAMPLE ON HOW THESE TOUR OPERATORS CHEAT THEIR CLIENTS. 

Long story shot: Everyone was very angry this evening. I contacted my ?agent¢®¡Æ complaining about this. I was assured that everything will be fine an that I just should enjoy my time.

Next day the 7th person who was squeezed in our car had to wait for another group from Arusha in order to join them. We felt really sorry for him, because he HAD TO WAIT IN THE CAMP INSTEAD OF ENJOYING HIS SAFARI DUE TO DISORGANIZATION of his tour operator.  This made us even more suspicious, because we had an excursion to Lake Manyara on the last day of our itinerary (actually this was supposed to be on our 2nd day, but who cares for the itinerary, right???) and 3 persons in our group did not. One girl had lake Manyara in her itinerary but apparently she was not going to see it because she only booked 5 days Safari and was going back to Arusha with the rest oft he group

Next day we got a call from the owner of Kili Slope Tours Mr DAVID MARO the long trusted business partner of RAMSI SUNWA from AFRIKA KUKAYE:

! Please read this carefully. We have travelled many counties and have been on many tours but this was: the Mount Everest of REALLY BAD CUSTOMER SERVICE!!


MR DAVID MARO HEAVYL THREATEND ME AND MY GIRLFRIEND VIA THE PHONE. WE WERE REALLY SCARED AND MY GIRLDFRIEND WAS EVEN AFRAID HE WOULD SEND PEOPLE TO BEAT US UP! THIS IS HOW HE SPOKE TO US!

WE WERE INSTRUCTED NOT TO SPEAK TO THE OTHER PEOPLE IN OUR CAR ABOUT ITINERARIES AND THAT WE HAVE KEEP YOUR quote: ?MOUTHS SHUT AND NOT TO COMPLAIN ANYMORE!¢®¡Æ 

FURTHERMORE HE THREATENED US THAT HE WILL SEND A CAR AND TAKE US BACK TO ARUSHA (I GUESS WITHOUT ANY TYPE A REFUND)


I can only advise everyone who reads this to stay away from Afrika Kukaye and Kili Slope Tours. These guys will treat you like cattle and only want your money. They give a sh*** about you. They do not have the slightest customer service thoughts and will even threaten you if you complain! 


We did our Safari in February 2019 but, to be honest, we first wanted to be out of East Africa before we publish this review. We know that these Tour Operator have a network in East Africa and at that time we were still afraid of consequences posting a negative review about them.

I guess this shows every reader how strong the threat to us felt.

So please, do not book with these people!!
"
T. Wells,US,Visited: July 2019,29-Sep-19,50-65,first safari,Tree Africa Safaris,2,So much work to get our safari!,"We would not recommend Tree Africa Safaris at all. Throughout the booking process, we thought the company was wonderfully responsive?we dealt with Victor Nagol, who told us we would get a wonderful three-day safari, just as we dreamed of. But as soon as we made our 50% deposit, Victor stopped communicating with us. A few weeks before we were scheduled to arrive in Tanzania, we emailed him to confirm our plans?but our emails bounced back, time and time again. Then we discovered that his company¢®?s website was no longer live, and he was no longer advertising on Safari Bookings. Fearing that we might have been scammed, we asked our son (who is living in Tanzania) to visit Arusha (where Victor¢®?s office was) to figure out what the problem was. He wasn¢®?t able to find Victor, but after spending several days in Arusha, dealing with the police and the other tour company that processed our payment, our son was able to get Victor to follow through with our safari. Victor finally outsourced us to another tour operator (who was wonderful, and who gave us a delightful safari), but every part of it that Victor was involved with was a struggle. Our first two nights in Arusha were supposed to be included in the cost of our safari?but Victor did not pay for them; we had to pay for the hotel and wait to be reimbursed by Victor. He didn¢®?t pre-arrange our accommodations during the safari itself?each night, we had to wait hours until he finally communicated with our tour guide before we knew where we would be sleeping each night. And finally on the last night, Victor did not pay for the hotel we were staying in (in Arusha), which was supposed to be included in the amount we had paid?we had to pay for the hotel when we checked out, and Victor said he would reimburse us for the cost. He did so?but it was weeks after we had left Tanzania and had already returned home.

We ultimately did get a wonderful safari?thanks to the skill and knowledge of the tour guide that we were outsourced to. But every part of the safari that involved Victor Nagol was hard work for us. We have to wonder if the only reason we got any safari at all was because we had our son there, in Arusha, talking to the police on our behalf and putting pressure on Victor to give us the safari we had paid for. 

We cannot in good faith recommend the services of Tree Africa Safaris or Victor Nagol."
Takashi,UK,Visited: December 2018,17-Jan-19,35-50,first safari,Mushra Travel Agency,1,Be aware!!!! Avoid this travel agency!!!!,"The owner of Mushra travel agency Michael Ahabwe Mugerwa is such a untrustworthy!!!!

I am writing this review because I don¢®?t want anyone to have the same bad experience as me and lose any money.  Also they shouldn¢®?t be in this business.
If I write about the whole experience I had with this company it would be such a long review so I will keep it simple but still quite long, sorry. 

1, Micheal changed the original itinerary on Tourradar because on the first day of the tour no one picked me up from the hotel so the 7 day tour became a 6 day tour and I had to pay for an extra nights  accommodation upfront which he has never refunded.

2, The accommodation near to the Queen Elizabeth National Park for the 3 night safari was actually 2 hours drive away from the National park! The first morning game drive we had to leave the hotel at 4am in the morning! So I had to ask to change the accommodation to something closer to the park. 

3, They didn¢®?t pay the activity fee on time to my guide, so I almost missed a few of the activities. For example, the chimpanzee trekking and even the main activity of the GORILLA TREKKING!!!!! Which is the main reason I went to Uganda in the first place!!!! I didn¢®?t want to miss the opportunity to meet the gorillas so I had to pay the permit fee of $600 from my own pocket, of course! Micheal has never refunded that money either.
They use a payment system called ¢®?mobile money¢®? which supposed to be easy and quick so there are no excuses for them to not complete the money transfer to the guide.

4, During the tour the hotel asked my guide to pay the bill upfront but he didn¢®?t have any money because Michael hadn¢®?t transferred it to the guide on time so I had to pay again! Of course, he has never paid me back for that either.

5, On the last day of the tour in the evening I sent some messages to Michael about refunding all of the out of pocket expenses I had accrued and how much stress he had put me under during this tour. He messaged me back and said ¢®?my returning day in Kampala is 1st January which is a public holiday so no one is in the office.¢®? He promised me that he would meet up with me to pay me back when I was back in Kampala!!! There were many excuses to escape from the payment. 

6, In the message he said ¢®¡ÆI am a dishonest person¢®¡¾, ¢®¡ÆI am taking advantage of them¢®¡¾ and he said ""he thinks I was treating them like slaves¢®¡¾ etc.. Shocking!!!! 

I went to Uganda because I just wanted to enjoy my holiday and meet the gorillas not to have extra stress and spend extra money unnecessarily. So please, please, please be careful with this Mushra travel agency and the owner Michael!!!! 
I truly hope Tourradar team will investigate my issues and will protect the future innocent customers."
Tania C,NL,Visited: September 2013,03-Sep-14,20-35,first safari,Image Travel Limited,1,I advise you not to use this company,"Booked with Image Travel in March 2014 for a 10 day Masai/Serengeti Safari commencing Sep 2014. Paid for the tour in full prior to arriving. Mwanje, the owner, was great to deal with when booking but it all went horribly wrong on arrival. Our driver wasn't paid and we were stranded on the side of the road for 3 hours on the first day. We missed our afternoon game drive and lunch. We went for the 5 star option so for our group we paid over $30k USD for the whole trip. Our first night of accommodation was paid for but after that the next 9 nights had not been paid. The deposit was paid but the remaining amounts were all outstanding. We ended up having to report the matter to police and found that over $20k of the trip had to be paid for again. Our once in a lifetime trip was turned into an absolute nightmare by Mwanje and Image Travel. Mwanje would not respond to our calls or emails. Take my advice and go with another company."
Tara,KR,Visited: July 2019,03-Mar-20,35-50,first safari,KAMar Safaris,1,never travel with this company,"We went to Africa for our honeymoon and I planned this trip for more than 3 months but when we were there everything we have planned was all different.  The local agent told me there's no migration at that time of the year(this was the reason why I chose this agency: and they guaranteed this).
The hotel rooms were double (four honeymooners)
the driver of the game drive(safari tour driver) didn't know anything, even directions of the park; it took whole day wondering around the park looking for the resort so wer didn't get to see many animals. 
the safari car regularly broke down and we had to stop in the middle of the park or had tji travel far to get the car fixed. 
this was disaster. 
I complained about this to the agent back in Switzerland but she said it will be taken care of (for 6 months) and she said ""STOP email her about it"". 
There are allot more to tell but I don't even want to spend too much time writing about them. "
Taylor,US,Visited: November 2021,23-Nov-21,20-35,2-5 safaris,Kipok Africa Adventures,1,Thieves,"5 Day Kilimanjaro Climb: Nov 2021

Pro-cheapest price, plentiful food, terrific guide

Con-employee who arranged booking insisted I give him the tip money for guide and porters up front rather than allowing me to distribute the money directly to them myself during or after the climb. Upon return from the climb, the employee gave my tip money to the guide. However, the money was not the same as that which I had given to the employee. The denominations of bills were smaller and it appeared some money had been removed. Would not recommend this company as it seems the office-based employee who handles bookings is stealing some of the tip money from the guides and porters who do all the actual hard work on the mountain"
Ted,US,Visited: October 2022,14-Nov-22,35-50,2-5 safaris,Sunstrip Africa Safaris,2,"11 day Kenya-Tanzania Safari, Bad accommodations in Arusha, truck broke down twice in Tanzania","I had an 11 day tour of Kenya and Tanzania with luxury accommodations. Before I left for Africa, I really had a good communication with Susan/Suzy, she answers questions all the time thru WhatsApp, it's when I arrived in Africa when everything starts to become bad, when I got there, she changed some of my accommodations, the accommodations in the national parks were amazing, I chose the luxury accommodations and they were indeed nice! But my accommodations in Arusha were very bad, she put me in bad places that have dirty rooms, slow shower pressure and stinky rooms! Also, our truck that we used in Tanzania broke down twice, one day we have to spend a few hours in a junk shop in the middle of Serengeti to have the tires fixed then the following day this truck broke down again and we have to hitch a ride with another tour group to go back to Arusha! She booked us thru 7 wonders in Tanzania, I guess this safari company in Tanzania is not reliable! Also in Kenya, they used a van that was converted with a roof that can be lifted during game drives, its not those 4x4 safari trucks! The bad thing about this is it's very bumpy during game drives and roads in Kenya and Tanzania are not paved and very dusty! I just would like to point out that the drivers I had were amazing, Anthony in Kenya and Linus in Tanzania were both nice and they can easily spot animals even if they're very far from the vehicle. Overall, I enjoyed this trip I was able to see the big 5 and I would still do it again but I would probably choose another African countries next time and if I have to be back in Kenya or Tanzania then I'll choose a different tour operator next time "
Teresa,US,Visited: October 2020,28-Oct-20,50-65,2-5 safaris,East African Jungle Safaris,2,"The guide didn¢®?t know much. He barely talked, unless I asked him a question.","The guide lacked communication skills. He didn¢®?t have enough knowledge about birds or animals in general. The customer service was very poor, even though I was the only customer in the excursion because everyone else cancelled due to Covid 19.
A day before my last day, I found out I needed a Covid 19 test and I asked the owner to find a place in Entebbe for me to do it. We drove 8 long hours from the mountain to Entebbe. The guide never showed me or say anything, unless I asked something. I never heard from the owner. We waisted a lot of time looking for a clinic. I had to stayed in Entebbe two more days, I had to pay for another plane to Dubai and for another hotel in Dubai. I wasted a lot of money and time because the owner Couldn¢®?t help me.
My experience with the Gorillas was great but not thanks to this company.
In general, I don¢®?t recommend this company."
Theo,NL,Visited: July 2020,12-Sep-20,65+,2-5 safaris,Usambara Expeditions,1,Alex Shembago is a big cheater,"At the beginning of July this year i had  arranged with Alex a 24 day all inclusive (safaris, visit some tribes, transport , hotels, food etc.)  private roundtrip from Dar es Salaam as well final Moshi. About 40% of the agreed amount i payed Alex, the rest i payed the driver/guide during the trip. The old car Alex give us broke down 3 times. The trip from Bukoba to Bokoba and Bokoba to Mwanza was canceled by Alex, because according to him the road was dangerous and the boat did not sail. On day 19 Alex phoned me and say that the money i give to driver is up and ask me to borrow 300 US for the last 5 days of the trip. I did not do this and told him that he still have 40 % of the travel sum in his pocket and that he easy can sent money to the driver. He didnt do that . The last 5 days i had made a 2 trips with an other person and my driver and have to pay for the hotel and food by myself. I said Alex that I want to have at least the hotel and food costs reimbursed for the last 5 days  reimbursed from him. He promised to tranfer these charges to me within a few days. I reminds Alex later 2 times of this. Now after 7 weeks i still received nothing. I Moshi i told my expierence to an other man. This man said that he knew Alex and that its not believed that Alex will refund me any money."
Thomas,BR,Visited: July 2017,04-Aug-17,20-35,2-5 safaris,Sandland Tours and Safaris,1,Avoid avoid avoid,"This tour was equally upsetting and angering. Unfortunately I booked with another agent, and was pooled with other bookings, all from different agents. We should have been suspicious that ours was the only vehicle without any branding...it took 4 days to establish which tour company was actually running our trip.

From the outset, it was a shambles. We wasted the entire first morning waiting for various other bookings, essentially until the vehicle was full. I then also had my paid for itinerary changed immediately. To cap it off, the driver / guide was extremely rude, and offered no insight into either the schedule or the wildlife.

During my 5 day trip, the irritation continued. Our vehicle was clearly the slowest on the road, costing us hours of game driving every day. In addition, every time we reached camp, we were the last to leave, and last to eat. And even more, the game driving was not at all in line with the promised schedule. We spent a mere 3 hours in Ngorongoro crater...

Overall the entire trip was awful. It was hard to enjoy the wildlife beauty, as we were all so constantly harassed by the awful experience.

Please do not use this company, and help others to avoid such disappointment too."
Tiia,UK,Visited: February 2020,19-Apr-20,20-35,first safari,Suricata Safaris,2,Hillary swapped customers to cheaper tour operator without disclosing this,"I spent a good while researching safari options prior to my trip to Tanzania. I chose to book with Suricata Safaris based on their great reviews (#6 of 1,294 Outdoor Activities in Arusha) and accepted the cost as a part of the great experience I was in for. Weeks in advance, I had emailed the company to confirm this tour was going ahead on that day. Hillary from Suricata Safaris confirmed this.

When the tour started, I quickly realised it was not the 5-star treat I had paid for. Another day in, I realised that we had ended up with Arunga Expeditions & Safaris (#674 of 1,294 Outdoor Activities in Arusha) and their rude personnel. When I asked about this, our driver told me to ""stop complaining"". When I confronted the Suricata representative, Hillary, he said that they moved me to a cheaper operator to save costs. 

My experience with Arunga was very poor. There was no toilet paper, no hot water and no WiFi in the camps, and I shared a small tent with two people (I was told differently when I made my online enquiry with Suricata Safaris). When one of our crew fell ill and needed transportation out of the nature reserve, our guide suggested that we need to sort that ourselves. 

I ended up getting dinner and 10% of my money back from Suricata Safaris after the tour. This really does not make up for the difference in quality for the two tour operators. "
Tina,DE,Visited: February 2020,14-Feb-20,20-35,2-5 safaris,Bobby Tours Tanzania Safaris,1,"Worst Management, broken cars!!!","We booked the 4 Day Lodge Safari (Lake Manyara, Serengeti, Ngorongoro Crater). 
Our dream became a nightmare! 
The Management is the worst I have ever had. On our first day we arrived at the office and the Manager Kassim already yelled at me because I didn¢®?t pay cash and asked to pay by credit card. Then the tour started with an old car (dirty seats, no air condition, broken seatbelts and only 2 windows which could be opened). On our first day the driver had to fix the car twice. On our only day in the Serengeti the car broke down completely. The driver tried to manage everything. We¢®?ve been standing around 4 hours in the middle of the Serengeti. Then the driver arranged a ride to the visitor center for us. There we¢®?ve been waiting another 5 hours. The whole time we didn¢®?t hear anything from Kassim. After calling him and asking what is going to happen because it¢®?s been already 5pm and it normally took us around 2h to get to our accommodation. He apologized for the delay. I told him that this is not a delay! Because of the bad road conditions it took us 4h instead of 2h. So we had to drive 2h in the dark. This was not responsible. Animals had been on the road and we jumped and hurt ourselves because it was not possible to see the humps ahead. So the trip turned into a nightmare. 
But it¢®?s not the fault of the driver. They do their best and they have all the work.  It¢®?s simple the responsibility of the management to organize a good and safe! trip. But as the others already said he doesn¢®?t care about anything (Customer, car, driver) once he got his money. 
If you wanna have a once in a lifetime experience don¢®?t go with this company!!! "
TiTi,BE,Visited: June 2019,17-Jun-19,20-35,2-5 safaris,Road 2 Africa,1,Don¢®?t trust him!," While looking forward to exploring the beautiful country of Tanzania, we thought we could use the guidance and expertise of one of the locals. We contacted Arnold, and he presented himself as a local guide and travel agency, with all the right connections and experience to help us create an unforgettable trip.
After discussing our travel plans, Arnold made us pay a deposit 5 months in advance. He needed it to pay for our accommodations and make reservation with several other travel institutions.
One month prior to our departure we discovered that NONE of the reservations in the accommodations where made ( nor in our name, or his) and nothing was paid. After contacting Arnold he came up with a bunch of excuses and promises to make it right. No real explanation. In the end he stopped answering emails or text messages, and no rectifications were ever made. We ended up booking (very last minute!) through another agency and loosing about 2400 USD. What would have happened if we never double checked with the hotels ourselves ?! Arnold may present himself as genuine and authentic, but unfortunately he is a SCAM!
"
Tobias,UK,Visited: September 2016,08-Oct-16,20-35,first safari,Kenya Walking Survivors Safaris Ltd,2,Unsure solvency of the company - Definitively not a care free safari!,"First of allthis review has nothing to do with the beauty of Kenya and Tansania nor our personal tour guides or cooks (they have been super helpful)! Both countries are beautiful and their people have been exceptionally friendly and accommodating! 
However, if you want a carefree safari tour in which all bookings/reservations/parking fees are payed in advance (as discussed and payed for) then we suggest to book with a different company. We cannot express how disappointed and frustrated we were in regards to the organizational skills of Kenya Walking Safari's (KWS) management. It caused us many nerves/patience and most of all time during our 10 day safari. 
In order to be fair with KWSS we would also like to say the at the end of our tour KWSS compensated us with approx 5% of the tour price for lost time and wrong calculations.

Anyway we would like to explain what happened:

We booked our safari tour in April 2016 for our trip in August 2016. We had extensive contact with KWS which gave us confidence because they were always very responsive and answered all of our many questions. We payed well in advance (a good amount of money!) and expected that all accommodations/services/park fees would be payed/booked for us in time for our arrival.We are very well aware that we can come across unforeseen circumstances and that flexibility is required. However only to a certain extent.
During our tour we encountered four issues which we would like to explain for others in more detail:

The first issue we encountered was during our first lodge in Maasai Mara. Taking KWS's suggestion, we swapped 1 day in our tour due to ongoing animal migration in the region (adding 1 day in Maasai Mara and take 1 day off from our Tanzania tour).This was a good idea because we were able to see the river crossing. However, we didn't receive the same standard room we booked for originally.We wrote KWS a mail to see how to proceed (since there was a clear down grade on our room).They didn't reply to us until the end of our safari tour.

Second issue:after wonderful game drives in Maasai Mara and a great time at Lake Navaisha we headed off for a very long drive (8h) to Amboseli National park. According to our itinerary (which was reconfirmed verbally and on print during our face to face briefing in the Nairobi office) we were booked at the Kibo Lodge (high class safari lodge). We were then surprised to hear from our tour guide that he had just received a text message from the office saying we would be spending 2 nights in the AA lodge instead of Kibo (another down grade as they have different room rates). Apparently Kibo was fully booked due to government officials.We decided to see for ourselves and were more surprised to hear onsite from Kibo lodge that they did have available rooms and no government officials! We of course did not take the room in the AA lodge and insisted on taking a room in Kibo (according to our tour program we had payed for). We then found out from the hotel manager that they no longer accept KWSS clients because the company has outstanding payments. We (including our tour guide) tried to call the KWSS office many times (including the ""hotline number"") because this was a situation we were not going to accept. We were not able to get the manager of KWSS on the phone and waited 4 long hours until we reached someone from the office.They suggested that we pay the 2 nights ourselves (400$) and we will get a refund. Obviously, after all that we had heard and experienced we were not ready to pay ourselves. Due to the kindness of the Kibo hotel manager and our persisting tour guide we were able to check in at 8.30 pm. KWSS had promised to send the money to Kibo the next day, which they then did the next afternoon.However, low and behold,we encountered another group from KWSS on the second night at Kibo. They had the same problem! Unfortunately they weren't as lucky as we were and had to go to another lodge.

Third issueafter transferring from Kenya to Tanzania,we slept a night in Fanaka lodge to be ready early morning to go to the famous Ngorongoro crater.We were supposed to depart at 8am.However, our tour guide told us that there was a problem because KWSS had again not yet sent the money for our accommodations and park fees for Tanzania. KWSS's Tanzanian business partner, contacted us and suggested we pay 440$ and KWSS will refund us as soon as the money has been wired (apparently there was a technical problem so money transferring was not available). As you may guess, this was not an option for us.KWSS's credibility was non existent. So we called the KWSS office and were surprised that they actually picked up the phone. However this wasn't very helpful and the Tanzanian business partner had to borrow the money from his relative (!) so we could go on with the tour.We waited for almost 3 hrs until we were able to leave.

Fourth issueafter all that had happened, we decided to cross check our past accommodations and realised that KWSS had double calculated the first hotel night in Nairobi. By the waydon't accept a booking at Henessis Hotel.This is a shabby hotel which by far did not meet the standards of our other accommodations. This could have been an honest mistake but we decided to list all the issues we had during our tour for full transparency.

To come to an endAfter many emails and involvement of a 3rd party, KWSS management was cooperative and quick in refunding us (after we finished our tour) for wrong hotel accommodations and lost time (several hundred dollars in total).

In short:

- If you want to do a safari tour do it definitively in Tanzania and Kenya - people (incl. tour guides and cooks), nature and food are amazing!
- If you are looking for a carefree package KWS is not the best option
- If you insist and put pressure on KWSS you probably will get refunded for issues, however we believe this only worked for us because we involved a third party"
